22.877185583114624 3.151087999343872 4.764909267425537
         30608331 function calls (18939287 primitive calls) in 30.792 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1675(_fill_cache)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:169(_path_isdir)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1716(path_hook_for_FileFinder)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:185(_path_isabs)
       21    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:190(_path_abspath)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:642(_get_cached)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:674(_check_name_wrapper)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:697(_classify_pyc)
       28    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:758(_validate_hash_pyc)
       10    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:782(_compile_bytecode)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:833(spec_from_file_location)
       10    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:89(_unpack_uint32)
        1    0.000    0.000    0.000    0.000 <frozen importlib.machinery>:19(all_suffixes)
        3    0.000    0.000    0.000    0.000 <frozen os>:711(__getitem__)
        3    0.000    0.000    0.000    0.000 <frozen os>:793(encode)
        3    0.000    0.000    0.000    0.000 <frozen os>:810(getenv)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:166(basename)
        1    0.000    0.000    0.000    0.000 <frozen posixpath>:42(_get_sep)
        1    0.000    0.000    0.000    0.000 <frozen zipimport>:68(__init__)
       11    0.000    0.000    0.000    0.000 <string>:1(<lambda>)
        1    0.000    0.000   30.794   30.794 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:2(__init__)
       74    0.000    0.000    0.004    0.000 SHAKE256.py:118(new)
       74    0.001    0.000    0.003    0.000 SHAKE256.py:53(__init__)
      148    0.001    0.000    0.002    0.000 SHAKE256.py:69(update)
    75776    0.154    0.000    0.384    0.000 SHAKE256.py:87(read)
        1    0.000    0.000    0.005    0.005 __init__.py:1(<module>)
       22    0.000    0.000    0.000    0.000 __init__.py:102(find_spec)
        2    0.000    0.000    0.000    0.000 __init__.py:109(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:142(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:164(match)
        1    0.000    0.000    0.000    0.000 __init__.py:174(search)
        8    0.000    0.000    0.000    0.000 __init__.py:183(sub)
        1    0.000    0.000   22.680   22.680 __init__.py:21(__init__)
        1    0.000    0.000    0.001    0.001 __init__.py:25(A)
        1    0.000    0.000    0.000    0.000 __init__.py:287(compile)
       10    0.000    0.000    0.028    0.003 __init__.py:29(to_falcon_point)
       10    0.000    0.000    0.020    0.002 __init__.py:32(to_sagemath_vector)
        1    0.000    0.000    0.006    0.006 __init__.py:326(__getattr__)
       12    0.000    0.000    0.001    0.000 __init__.py:330(_compile)
       10    0.002    0.000    1.000    0.100 __init__.py:35(my_sign)
        1    0.000    0.000    0.000    0.000 __init__.py:358(namedtuple)
        1    0.000    0.000   22.877   22.877 __init__.py:42(set_up)
        7    0.000    0.000    0.000    0.000 __init__.py:432(<genexpr>)
    10250    0.002    0.000    0.002    0.000 __init__.py:51(<genexpr>)
    10250    0.002    0.000    0.002    0.000 __init__.py:52(<genexpr>)
        1    0.000    0.000    0.000    0.000 __init__.py:680(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:7(get_context)
        1    0.000    0.000    0.000    0.000 __init__.py:81(__call__)
        1    0.000    0.000    0.000    0.000 __init__.py:99(__classcall__)
        1    0.000    0.000    0.000    0.000 _compiler.py:214(_compile_charset)
        1    0.000    0.000    0.000    0.000 _compiler.py:241(_optimize_charset)
        2    0.000    0.000    0.000    0.000 _compiler.py:31(_combine_flags)
     10/3    0.000    0.000    0.000    0.000 _compiler.py:37(_compile)
        5    0.000    0.000    0.000    0.000 _compiler.py:401(_simple)
        2    0.000    0.000    0.000    0.000 _compiler.py:410(_generate_overlap_table)
        4    0.000    0.000    0.000    0.000 _compiler.py:431(_get_iscased)
        3    0.000    0.000    0.000    0.000 _compiler.py:439(_get_literal_prefix)
        1    0.000    0.000    0.000    0.000 _compiler.py:470(_get_charset_prefix)
        3    0.000    0.000    0.000    0.000 _compiler.py:514(_compile_info)
        6    0.000    0.000    0.000    0.000 _compiler.py:573(isstring)
        3    0.000    0.000    0.000    0.000 _compiler.py:576(_code)
        3    0.000    0.000    0.001    0.000 _compiler.py:743(compile)
      155    0.000    0.000    0.000    0.000 _linalg.py:128(isComplexType)
      155    0.000    0.000    0.000    0.000 _linalg.py:2571(_norm_dispatcher)
      155    0.002    0.000    0.005    0.000 _linalg.py:2575(norm)
       10    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
       20    0.000    0.000    0.000    0.000 _parser.py:163(__len__)
       57    0.000    0.000    0.000    0.000 _parser.py:167(__getitem__)
        5    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
       14    0.000    0.000    0.000    0.000 _parser.py:175(append)
     12/5    0.000    0.000    0.000    0.000 _parser.py:177(getwidth)
        3    0.000    0.000    0.000    0.000 _parser.py:230(__init__)
       28    0.000    0.000    0.000    0.000 _parser.py:239(__next)
       21    0.000    0.000    0.000    0.000 _parser.py:255(match)
       22    0.000    0.000    0.000    0.000 _parser.py:260(get)
       13    0.000    0.000    0.000    0.000 _parser.py:292(tell)
        4    0.000    0.000    0.000    0.000 _parser.py:371(_escape)
        1    0.000    0.000    0.000    0.000 _parser.py:448(_uniq)
      5/3    0.000    0.000    0.000    0.000 _parser.py:451(_parse_sub)
      5/3    0.000    0.000    0.000    0.000 _parser.py:511(_parse)
        3    0.000    0.000    0.000    0.000 _parser.py:76(__init__)
       10    0.000    0.000    0.000    0.000 _parser.py:82(groups)
        2    0.000    0.000    0.000    0.000 _parser.py:85(opengroup)
        3    0.000    0.000    0.000    0.000 _parser.py:954(fix_flags)
        2    0.000    0.000    0.000    0.000 _parser.py:97(closegroup)
        3    0.000    0.000    0.000    0.000 _parser.py:970(parse)
        1    0.000    0.000    0.005    0.005 _pickle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _pytesttester.py:75(__init__)
    75850    0.008    0.000    0.008    0.000 _raw_api.py:109(c_ulong)
    75998    0.008    0.000    0.008    0.000 _raw_api.py:117(c_size_t)
    75776    0.047    0.000    0.165    0.000 _raw_api.py:121(create_string_buffer)
    75776    0.040    0.000    0.040    0.000 _raw_api.py:138(get_raw_buffer)
      148    0.000    0.000    0.000    0.000 _raw_api.py:142(c_uint8_ptr)
       74    0.000    0.000    0.002    0.000 _raw_api.py:154(__init__)
       74    0.000    0.000    0.000    0.000 _raw_api.py:157(get)
       74    0.000    0.000    0.000    0.000 _raw_api.py:160(address_of)
       74    0.000    0.000    0.002    0.000 _raw_api.py:163(VoidPointer)
       74    0.000    0.000    0.000    0.000 _raw_api.py:273(__init__)
    75924    0.009    0.000    0.009    0.000 _raw_api.py:277(get)
       74    0.000    0.000    0.000    0.000 _raw_api.py:284(__del__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:430(__init__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:459(__call__)
        1    0.000    0.000    0.000    0.000 _ufunc_config.py:464(inner)
        3    0.000    0.000    0.000    0.000 abstract_method.py:202(__get__)
       10    0.000    0.000    0.000    0.000 additive_magmas.py:211(__init_extra__)
